iter	Logloss
123	0.2314134143
124	0.2306579765
125	0.2300543799
126	0.2292893708
127	0.2288924677
128	0.228485142
129	0.2282646109
130	0.2276376863
131	0.2270809549
132	0.2264585608
133	0.2259403731
134	0.2256166171
135	0.2254176421
136	0.224950128
137	0.2243699095
138	0.2234067603
139	0.2228399754
140	0.2226556323
141	0.2223530479
142	0.2213581235
143	0.2207308935
144	0.2201971074
145	0.2198939167
146	0.2195611444
147	0.2190902359
148	0.2189591634
149	0.2184682326
150	0.2182832105
151	0.2178426125
152	0.2175640343
153	0.2171017371
154	0.2164180238
155	0.2157670892
156	0.2154042238
157	0.2145308041
158	0.2140486245
159	0.2136008647
160	0.2133999451
161	0.2126358148
162	0.2119859274
163	0.211601793
164	0.2113314545
165	0.2106364297
166	0.2102926753
167	0.2100328787
168	0.2097739213
169	0.2095739363
170	0.2090926356
171	0.2087671171
172	0.2085619158
173	0.2083453436
174	0.2081015732
175	0.2076842301
176	0.2073638023
177	0.2071721477
178	0.2069071716
179	0.2064851166
180	0.2062742289
181	0.2060773405
182	0.2057602296
183	0.2056377251
184	0.2054099194
185	0.2051159047
186	0.2047305854
187	0.2042015423
188	0.2039913345
189	0.2036877721
190	0.203544569
191	0.2033347516
192	0.2031718851
193	0.2030235195
194	0.2026019455
195	0.2022999993
196	0.201922489
197	0.2015815611
198	0.2011368407
199	0.200954937
200	0.2005154552
201	0.2002640294
202	0.1999374352
203	0.1994802987
204	0.1993248461
205	0.1990741616
206	0.1988011976
207	0.1985438799
208	0.1980516881
209	0.197697179
210	0.1972863152
211	0.1967178613
212	0.1964317488
213	0.196053748
214	0.1958903387
215	0.1952469139
216	0.1950662567
217	0.1949375697
218	0.1946625374
219	0.1943101032
220	0.1940846158
221	0.193965649
222	0.1937207343
223	0.1935401942
224	0.1932826368
225	0.1930799945
226	0.1928792671
227	0.1918999842
228	0.191640161
229	0.1912774151
230	0.191022957
231	0.1908555671
232	0.1905796385
233	0.1904706846
234	0.1903715238
235	0.1900625659
236	0.1898004836
237	0.1896579292
238	0.1892548169
239	0.1889166102
240	0.1886195597
241	0.1884652101
242	0.1882460076
243	0.1878258939
244	0.1876571755
245	0.1874249263
246	0.1872741775
247	0.1871610958
248	0.1870194585
249	0.1867248417
250	0.186479771
251	0.1863739474
252	0.1861603918
253	0.1860202468
254	0.1857376995
255	0.1851863581
256	0.1849635529
257	0.1847165117
258	0.1844125354
259	0.1841984023
260	0.1841057503
261	0.1840266259
262	0.1838192816
263	0.1835289427
264	0.1833341862
265	0.1831847173
266	0.1828955827
267	0.1827732316
268	0.1825828857
269	0.1823885406
270	0.1819710923
271	0.1817050682
272	0.1814577751
273	0.1813734611
274	0.1811953927
275	0.1809673111
276	0.1808618654
277	0.1806384743
278	0.1800390884
279	0.1798762508
280	0.1796965854
281	0.1795734833
282	0.1793053525
283	0.1791144167
284	0.1787914269
285	0.1784705103
286	0.1783408903
287	0.1779325316
288	0.1778128108
289	0.1777286184
290	0.1774658076
291	0.1770389178
292	0.1765513992
293	0.1764822742
294	0.176060511
295	0.1757374846
296	0.1756599657
297	0.1753335199
298	0.1752136483
299	0.1751354342
300	0.1749588266
301	0.1748133696
302	0.1747175115
303	0.1741010643
304	0.1739200642
305	0.1735617916
306	0.1732975022
307	0.1730799748
308	0.1725957941
309	0.1724823834
310	0.1722500408
311	0.171994838
312	0.1717664798
313	0.1716567052
314	0.1713635496
315	0.1711929492
316	0.1709963653
317	0.1707162503
318	0.1706340433
319	0.1704537762
320	0.1701770936
321	0.1699871838
322	0.1696950808
323	0.1693475605
324	0.1692478362
325	0.169109978
326	0.1689498904
327	0.1688587266
328	0.1687610617
329	0.168625114
330	0.1684892454
331	0.1683836873
332	0.1681899552
333	0.167965976
334	0.1677870524
335	0.1676088169
336	0.1675333195
337	0.1673227536
338	0.1671658042
339	0.1670424591
340	0.1669819644
341	0.1667259568
342	0.1666349178
343	0.1664383003
344	0.1663611177
345	0.1662088947
346	0.1660120788
347	0.1658990385
348	0.1658477952
349	0.1655866343
350	0.1655212097
351	0.1653420012
352	0.165213652
353	0.1650568391
354	0.1648811152
355	0.1647433188
356	0.1643632206
357	0.1643122427
358	0.1642138534
359	0.1641344145
360	0.1640527676
361	0.1639202661
362	0.1637542472
363	0.1635683197
364	0.1634234247
365	0.1633144646
366	0.1631443946
367	0.1630582974
368	0.1628918362
369	0.1626804803
370	0.1624998652
371	0.1623897673
372	0.1623062247
373	0.1621954034
374	0.1620753126
375	0.1618042916
376	0.1617287987
377	0.1615764608
378	0.1614260508
379	0.1611647192
380	0.1610981027
381	0.1609609237
382	0.1609055248
383	0.160846839
384	0.1606447688
385	0.1605000316
386	0.1604469011
387	0.1603415102
388	0.1602833711
389	0.1601151181
390	0.1600536209
391	0.1599398982
392	0.1598063771
393	0.1596937485
394	0.1595910278
395	0.1594037493
396	0.1593072195
397	0.1591630791
398	0.1590638309
399	0.1589667542
400	0.1588977575
401	0.1587622942
402	0.1586988618
403	0.1585489007
404	0.1583832058
405	0.1582881972
406	0.1581855106
407	0.1581124465
408	0.158031379
409	0.1579715132
410	0.1578180231
411	0.1576941408
412	0.1575819064
413	0.1574924035
414	0.1573468839
415	0.1572381134
416	0.1571718436
417	0.1570496722
418	0.1569563789
419	0.156822269
420	0.1567551015
421	0.1566649435
422	0.1565353273
423	0.1563951459
424	0.156205425
425	0.1560949191
426	0.1559771808
427	0.1559101483
428	0.1558444645
429	0.1557677571
430	0.1557113129
431	0.1556286307
432	0.1554853665
433	0.1553444189
434	0.1552927471
435	0.1550859122
436	0.1548434253
437	0.1547554102
438	0.1546485993
439	0.1545822111
440	0.1543814161
441	0.1542010795
442	0.1541315422
443	0.1540646062
444	0.1539670962
445	0.1538516779
446	0.1538008226
447	0.1537093471
448	0.1536353328
449	0.1535365056
450	0.1534126996
451	0.1533092466
452	0.1531661796
453	0.1530451309
454	0.1529240495
455	0.1528043218
456	0.152710728
457	0.1526229519
458	0.1524971876
459	0.1523840181
460	0.1523280797
461	0.1521548705
462	0.1521078913
463	0.1519073544
464	0.1518308916
465	0.1516482566
466	0.1515608003
467	0.1514450103
468	0.1513390951
469	0.151236412
470	0.1511083576
471	0.1510498355
472	0.1509474031
473	0.1508633671
474	0.1507838925
475	0.1507101007
476	0.1506155201
477	0.1503750767
478	0.1502303859
479	0.1501284419
480	0.1500005637
481	0.1499253095
482	0.1498137571
483	0.1497415085
484	0.14966699
485	0.1496275512
486	0.1495716343
487	0.1494707303
488	0.1494187643
489	0.1492998784
490	0.1492390443
491	0.1491240818
492	0.1489909855
493	0.1488240834
494	0.1486981603
495	0.1485842677
496	0.1485027985
497	0.148416784
498	0.1483637597
499	0.1482955116
500	0.1481889727
501	0.148045839
502	0.1480039571
503	0.1478383683
504	0.1477107749
505	0.1475936626
506	0.1475239852
507	0.1474703851
508	0.1473337576
509	0.1472630398
510	0.1471201818
511	0.147018736
512	0.1468980163
513	0.1468142448
514	0.146752434
515	0.1466784246
516	0.1465887694
517	0.1465143047
518	0.1464487661
519	0.1463854763
520	0.1462738711
521	0.1462045762
522	0.1461603373
523	0.1460918347
524	0.1459919121
525	0.1459276491
526	0.1458295115
527	0.145743479
528	0.1456777861
529	0.1455864251
530	0.1454705327
531	0.1454177532
532	0.1453524614
533	0.1450761757
534	0.1449938635
535	0.1448140802
536	0.1447514744
537	0.1445492455
538	0.1444595631
539	0.144391964
540	0.1443244426
541	0.1442592671
542	0.1441778757
543	0.1441296221
544	0.1440711629
545	0.1440169464
546	0.1438828347
547	0.1437902373
548	0.1437414084
549	0.1435703458
550	0.1434842302
551	0.1434162797
552	0.1433412844
553	0.1432680887
554	0.1431996335
555	0.1431655342
556	0.1431182139
557	0.1430724424
558	0.1430139927
559	0.1429357596
560	0.1428839132
561	0.1427446397
562	0.1425614319
563	0.1424263984
564	0.1423349278
565	0.1422364852
566	0.1421184653
567	0.1420545049
568	0.1419903714
569	0.1418909129
570	0.1418250938
571	0.1417769816
572	0.1416467381
573	0.141587113
574	0.1415163082
575	0.1414013812
576	0.1413058689
577	0.1412272762
578	0.1410983746
579	0.1410185108
580	0.1409522997
581	0.1408478431
582	0.1408137471
583	0.1407352425
584	0.1406705843
585	0.1406267427
586	0.1405154497
587	0.1404240205
588	0.1403362853
589	0.1402606921
590	0.1401858988
591	0.1400569619
592	0.1399735915
593	0.1399389268
594	0.1398896619
595	0.1398253617
596	0.1396994217
597	0.1396026333
598	0.1395337415
599	0.1394673804
600	0.1394112208
601	0.1393698199
602	0.13931106
603	0.1392477539
604	0.1391944946
605	0.1391227079
606	0.1390743978
607	0.1389928259
608	0.1389037951
609	0.1388311238
610	0.1387708332
611	0.1387272352
612	0.138676529
613	0.1385308452
614	0.1384644126
615	0.1384145515
616	0.1382873763
617	0.1382541942
618	0.1381896371
619	0.1381537072
620	0.1381184582
621	0.1380509785
622	0.1379928436
623	0.1379288912
624	0.1378358323
625	0.1377886283
626	0.1377290851
627	0.1376327731
628	0.1375461766
629	0.1374677291
630	0.1373978375
631	0.1373492831
632	0.1373092601
633	0.1372534452
634	0.137181325
635	0.1370959289
636	0.1370169118
637	0.1369485585
638	0.1368775746
639	0.1368116655
640	0.1367288449
641	0.1366276026
642	0.136483662
643	0.1364429418
644	0.1363995152
645	0.1362622421
646	0.1361530248
647	0.1360452899
648	0.1358957925
649	0.1358136556
650	0.135758472
651	0.1356770485
652	0.1355908782
653	0.13554668
654	0.1355170535
655	0.1354640865
656	0.1354066832
657	0.1353327433
658	0.1352498022
659	0.1351775047
660	0.1351400398
661	0.135076277
662	0.1350342788
663	0.1349585565
664	0.1348971901
665	0.1348461525
666	0.1347197147
667	0.1346526058
668	0.1346018949
669	0.1345331953
670	0.1344571661
671	0.1343824666
672	0.1343255561
673	0.134289293
674	0.134224224
675	0.1341530145
676	0.1340951287
677	0.1340503732
678	0.1339703342
679	0.1338483113
680	0.1337937763
681	0.1337395633
682	0.133651778
683	0.133593088
684	0.1335256195
685	0.1334599731
686	0.1334038746
687	0.1333508941
688	0.1332912409
689	0.1332211255
690	0.1331333147
691	0.1330847979
692	0.1330141878
693	0.1329450722
694	0.1328963991
695	0.132839037
696	0.1328028406
697	0.1327403104
698	0.1327175048
699	0.1326610958
700	0.1326119813
701	0.1325166087
702	0.1324446752
703	0.1323689338
704	0.1323059092
705	0.1322267669
706	0.1321542083
707	0.1320532789
708	0.1319754843
709	0.1319004144
710	0.1317875257
711	0.1317062412
712	0.1316396192
713	0.1315975147
714	0.1315668067
715	0.1314763186
716	0.1314190102
717	0.1313979885
718	0.1313421752
719	0.1312757322
720	0.131220145
721	0.1311333734
722	0.1310870349
723	0.1310300903
724	0.1310105761
725	0.1308959986
726	0.1308442399
727	0.1307860457
728	0.1307309088
729	0.1306321674
730	0.1305416762
731	0.1304765891
732	0.1304032187
733	0.1302948744
734	0.1302578607
735	0.1302002796
736	0.1301663328
737	0.1300645746
738	0.1300031052
739	0.1298466839
740	0.1297807111
741	0.1297235905
742	0.1296289992
743	0.1295910878
744	0.1295518741
745	0.1294918821
746	0.1294167577
747	0.1293501908
748	0.1293033375
749	0.1292293132
750	0.1292030858
751	0.1291297358
752	0.1290928815
753	0.1290351675
754	0.128881088
755	0.1288127033
756	0.1287642172
757	0.1287405835
758	0.1286886165
759	0.1286223829
760	0.1285576648
761	0.1284757248
762	0.1284275008
763	0.1284009216
764	0.1283443341
765	0.1282698939
766	0.1282206927
767	0.1281780225
768	0.1280730415
769	0.1279674679
770	0.1278822887
771	0.1277979409
772	0.1277639451
773	0.1277049136
774	0.1276418883
775	0.1276025398
776	0.1275506467
777	0.1275129255
778	0.127481229
779	0.1274237732
780	0.127379167
781	0.1273248184
782	0.1272908936
783	0.1272377124
784	0.1272241416
785	0.1271746009
786	0.1271199018
787	0.1270607309
788	0.126988251
789	0.1269425373
790	0.1269081348
791	0.1268480727
792	0.1268049652
793	0.1267308569
794	0.1266005402
795	0.1265291994
796	0.1264628322
797	0.1264095536
798	0.1263495787
799	0.1263107037
800	0.1261954299
801	0.1261253613
802	0.1260789164
803	0.1260210548
804	0.1259734636
805	0.1259447386
806	0.1258667722
807	0.1258031848
808	0.1257525963
809	0.1257202434
810	0.1256713508
811	0.1256195188
812	0.1255624855
813	0.125543136
814	0.1254820375
815	0.1254452522
816	0.125377229
817	0.1253000172
818	0.1252527479
819	0.1251913524
820	0.1251260482
821	0.1250447198
822	0.1249778541
823	0.1249030155
824	0.1248537725
825	0.12477853
826	0.1247334801
827	0.1246823391
828	0.1246689734
829	0.1246086555
830	0.1245199648
831	0.1244287146
832	0.1244020091
833	0.1243787442
834	0.1243233307
835	0.1242549647
836	0.1242097843
837	0.1241507646
838	0.1240476533
839	0.12400045
840	0.1239445839
841	0.1238294197
842	0.1237544145
843	0.123692991
844	0.1236198095
845	0.1235402869
846	0.1235161811
847	0.1234604815
848	0.1233984305
849	0.1233675549
850	0.1233002432
851	0.1232751194
852	0.1232305809
853	0.1231802867
854	0.1230662649
855	0.1230182408
856	0.1229592896
857	0.1228902262
858	0.1228292384
859	0.1227852801
860	0.1227423356
861	0.1226583108
862	0.1225906929
863	0.1225465297
864	0.1225119963
865	0.1224686187
866	0.1224345665
867	0.1223613967
868	0.1222819722
869	0.1222011723
870	0.1221634168
871	0.1221073362
872	0.1220110092
873	0.1219543428
874	0.1218964699
875	0.1218634072
876	0.1218230741
877	0.1217686209
878	0.1217325073
879	0.1216674538
880	0.1216061761
881	0.1215696817
882	0.12152729
883	0.1215094284
884	0.1214596031
885	0.121410196
886	0.1213901721
887	0.1213494086
888	0.1212854961
889	0.1212335678
890	0.1211877066
891	0.1211097177
892	0.1210762447
893	0.120998484
894	0.1209282649
895	0.1208609018
896	0.1208287615
897	0.1207983455
898	0.1207507297
899	0.1206888513
900	0.120625299
901	0.1205748286
902	0.120516558
903	0.1204690331
904	0.1204202205
905	0.1203689455
906	0.1203229975
907	0.1203058755
908	0.1202472421
909	0.1202120775
910	0.1201501333
911	0.1201036847
912	0.1200586991
913	0.1200007872
914	0.1199464452
915	0.1199243493
916	0.1198791738
917	0.1198437636
918	0.1197919096
919	0.1197447584
920	0.1197119466
921	0.1196286085
922	0.1195864016
923	0.1195153176
924	0.1194764197
925	0.1194253354
926	0.1193487024
927	0.1193044508
928	0.1192397422
929	0.1191702872
930	0.1191413722
931	0.1191094163
932	0.1190547026
933	0.1190121046
934	0.1189703891
935	0.1189069418
936	0.1188582291
937	0.1188017502
938	0.1187635548
939	0.1186917701
940	0.1186583344
941	0.1186192152
942	0.1185858359
943	0.1185337545
944	0.1184968737
945	0.1184585159
946	0.1184247047
947	0.1183730342
948	0.1183485725
949	0.1182890348
950	0.1182516671
951	0.1182103816
952	0.1181478718
953	0.1180984807
954	0.1180312625
955	0.1179568571
956	0.1179071387
957	0.117863209
958	0.1178106666
959	0.1177526429
960	0.1176889364
961	0.1176343974
962	0.1175839792
963	0.1175397813
964	0.117512717
965	0.1174568462
966	0.1174027133
967	0.1173614701
968	0.1173193004
969	0.1172904105
970	0.1172365891
971	0.1171501579
972	0.1171061703
973	0.1170638045
974	0.1170146505
975	0.1169580914
976	0.1169055241
977	0.1168559477
978	0.1168148946
979	0.1167577283
980	0.1167178484
981	0.116659145
982	0.1166255659
983	0.1165818498
984	0.1165286571
985	0.1164762122
986	0.1164545436
987	0.1164231562
988	0.1163654114
989	0.1163121593
990	0.1162738276
991	0.1162295881
992	0.1161789281
993	0.1161155579
994	0.1160751653
995	0.1160495876
996	0.1159947498
997	0.1159528415
998	0.1159115245
999	0.1158588953
